iter	MultiClass
0	1.236792648
1	1.127228553
2	1.044254358
3	0.9723965436
4	0.9134838705
5	0.862661917
6	0.8213131319
7	0.7857146322
8	0.7545550677
9	0.72224015
10	0.6954130332
11	0.6728585994
12	0.6475438389
13	0.629560188
14	0.6137561279
15	0.5923020805
16	0.5793705038
17	0.5652643094
18	0.5533461599
19	0.5411064882
20	0.5303280337
21	0.5206162361
22	0.5105030641
23	0.4987268571
24	0.4912379788
25	0.4843912454
26	0.4782063065
27	0.470976131
28	0.462125292
29	0.457064251
30	0.4519789193
31	0.4476690708
32	0.4404944445
33	0.4337268564
34	0.4275238399
35	0.4219798596
36	0.416434573
37	0.4108985231
38	0.4054680193
39	0.4022822219
40	0.3996714923
41	0.3961104666
42	0.3903156256
43	0.3878937201
44	0.3839715435
45	0.3815931088
46	0.3782688464
47	0.375288213
48	0.3734066672
49	0.3684505563
50	0.3653969864
51	0.3632254868
52	0.3587931638
53	0.3544598447
54	0.3519296351
55	0.3503764842
56	0.3485046618
57	0.3462156166
58	0.3428956455
59	0.3401552938
60	0.337759198
61	0.3353285789
62	0.332347339
63	0.3308669943
64	0.3267000301
65	0.3250847223
66	0.3230399919
67	0.3217736328
68	0.3209088138
69	0.318117856
70	0.3155096298
71	0.3129286491
72	0.3111734886
73	0.310124723
74	0.3088512199
75	0.3077649058
76	0.3055459021
77	0.3046231277
78	0.3027325652
79	0.3016942647
80	0.2995102491
81	0.2980287374
82	0.2963296217
83	0.2942863716
84	0.2923754913
85	0.2907724031
86	0.2892466183
87	0.2880252876
88	0.2865203923
89	0.2856469523
90	0.2832747217
91	0.2816723447
92	0.281133161
93	0.2792024941
94	0.2778393848
95	0.2765653873
96	0.2750154491
97	0.2741486881
98	0.2729683487
99	0.2711905655
100	0.2705762686
101	0.2701181182
102	0.269827226
103	0.269087312
104	0.2668550783
105	0.2658033604
106	0.2643824234
107	0.2634725807
108	0.2619011001
109	0.260728202
110	0.2600933205
111	0.2588199657
112	0.2577697899
113	0.2572471952
114	0.2558121558
115	0.255153554
116	0.2544815866
117	0.2536804077
118	0.2525158043
119	0.251089814
120	0.2503658171
121	0.2498301143
122	0.2491585838
123	0.2476110475
124	0.2455004581
125	0.2444451857
126	0.2435529266
127	0.2432851021
128	0.242685097
129	0.2411018425
130	0.2402806454
131	0.2390490923
