iter	Passed	Remaining
0	100	100146
1	163	81820
2	229	76141
3	289	72142
4	353	70423
5	416	68938
6	489	69489
7	567	70355
8	635	69926
9	704	69763
10	771	69382
11	837	68956
12	898	68234
13	965	67985
14	1025	67345
15	1087	66895
16	1151	66603
17	1211	66120
18	1273	65767
19	1338	65593
20	1400	65275
21	1466	65192
22	1530	65002
23	1587	64565
24	1647	64234
25	1706	63918
26	1769	63762
27	1826	63410
28	1889	63254
29	1946	62951
30	2004	62647
31	2064	62438
32	2121	62175
33	2179	61923
34	2237	61696
35	2297	61516
36	2353	61263
37	2409	60995
38	2466	60783
39	2529	60698
40	2589	60580
41	2645	60348
42	2706	60225
43	2769	60173
44	2832	60121
45	2892	59987
46	2956	59944
47	3011	59732
48	3070	59584
49	3130	59488
50	3187	59306
51	3247	59204
52	3304	59037
53	3364	58943
54	3423	58824
55	3483	58725
56	3542	58603
57	3598	58450
58	3656	58317
59	3712	58158
60	3769	58022
61	3825	57882
62	3886	57806
63	3938	57605
64	3998	57520
65	4056	57401
66	4117	57339
67	4175	57223
68	4233	57122
69	4290	57003
70	4346	56876
71	4406	56793
72	4468	56746
73	4526	56636
74	4582	56520
75	4636	56375
76	4695	56279
77	4765	56324
78	4826	56268
79	4888	56218
80	4944	56102
81	5002	56005
82	5060	55911
83	5118	55814
84	5177	55733
85	5234	55628
86	5293	55550
87	5352	55472
88	5412	55400
89	5472	55336
90	5531	55258
91	5588	55157
92	5643	55036
93	5704	54977
94	5760	54875
95	5815	54766
96	5874	54687
97	5930	54580
98	5987	54496
99	6047	54427
100	6103	54327
101	6160	54239
102	6217	54146
103	6272	54044
104	6328	53939
105	6385	53858
106	6443	53773
107	6502	53702
108	6558	53610
109	6612	53504
110	6668	53408
111	6727	53339
112	6788	53284
113	6845	53205
114	6903	53125
115	6962	53055
116	7019	52979
117	7074	52880
118	7132	52806
119	7188	52717
120	7245	52635
121	7305	52577
122	7363	52505
123	7416	52396
124	7475	52328
125	7533	52253
126	7588	52162
127	7643	52069
128	7702	52009
129	7758	51921
130	7814	51835
131	7878	51807
132	7935	51732
133	7989	51632
134	8048	51569
135	8106	51500
136	8163	51424
137	8221	51353
138	8276	51269
139	8332	51184
140	8388	51102
141	8446	51035
142	8504	50968
143	8563	50903
144	8628	50878
145	8690	50835
146	8746	50750
147	8813	50734
148	8876	50697
149	8940	50663
150	9003	50621
151	9064	50570
152	9123	50504
153	9182	50442
154	9244	50400
155	9306	50350
156	9366	50293
157	9425	50229
158	9485	50172
159	9541	50094
160	9597	50011
161	9653	49934
162	9708	49851
163	9761	49760
164	9818	49685
165	9873	49607
166	9929	49529
167	9985	49452
168	10044	49389
169	10102	49326
170	10161	49263
171	10222	49212
172	10280	49145
173	10339	49083
174	10398	49020
175	10462	48983
176	10526	48946
177	10584	48881
178	10640	48803
179	10700	48747
180	10758	48680
181	10815	48609
182	10879	48569
183	10934	48491
184	10998	48451
185	11056	48387
186	11113	48317
187	11173	48258
188	11231	48193
189	11290	48133
190	11346	48061
191	11407	48006
192	11466	47944
193	11527	47891
194	11591	47850
195	11647	47778
196	11712	47739
197	11769	47671
198	11826	47603
199	11885	47542
200	11941	47470
201	11998	47401
202	12058	47344
203	12116	47278
204	12174	47214
205	12229	47136
206	12288	47077
207	12352	47033
208	12413	46979
209	12468	46905
210	12532	46863
211	12588	46792
212	12647	46731
213	12707	46672
214	12762	46598
215	12820	46535
216	12886	46498
217	12940	46420
218	12998	46356
219	13056	46290
220	13115	46230
221	13173	46165
222	13232	46105
223	13291	46046
224	13353	45994
225	13415	45946
226	13482	45910
227	13541	45852
228	13598	45784
229	13657	45722
230	13730	45707
231	13794	45666
232	13861	45628
233	13919	45564
234	13976	45497
235	14043	45463
236	14101	45398
237	14158	45332
238	14221	45281
239	14277	45213
240	14336	45150
241	14392	45079
242	14451	45018
243	14508	44952
244	14565	44887
245	14627	44834
246	14689	44782
247	14744	44709
248	14799	44636
249	14855	44566
250	14914	44507
251	14974	44448
252	15040	44407
253	15100	44350
254	15159	44288
255	15214	44218
256	15274	44160
257	15338	44111
258	15400	44060
259	15476	44048
260	15536	43990
261	15595	43929
262	15653	43866
263	15707	43789
264	15773	43748
265	15834	43694
266	15897	43643
267	15956	43583
268	16019	43532
269	16080	43475
270	16135	43405
271	16206	43377
272	16273	43335
273	16333	43278
274	16394	43222
275	16477	43223
276	16533	43154
277	16595	43101
278	16655	43042
279	16714	42979
280	16775	42923
281	16836	42867
282	16899	42814
283	16959	42756
284	17016	42690
285	17069	42614
286	17124	42542
287	17182	42478
288	17240	42414
289	17294	42340
290	17348	42269
291	17403	42197
292	17462	42136
293	17522	42077
294	17579	42011
295	17638	41951
296	17693	41881
297	17746	41806
298	17805	41745
299	17860	41673
300	17915	41604
301	17968	41530
302	18021	41456
303	18080	41395
304	18136	41327
305	18191	41258
306	18246	41188
307	18300	41117
308	18354	41045
309	18409	40976
310	18462	40902
311	18521	40842
312	18577	40774
313	18631	40705
314	18684	40631
315	18744	40574
316	18800	40507
317	18856	40440
318	18914	40377
319	18970	40311
320	19027	40247
321	19083	40181
322	19137	40111
323	19191	40040
324	19247	39975
325	19303	39910
326	19363	39852
327	19421	39789
328	19474	39719
329	19535	39662
330	19591	39597
331	19644	39526
332	19698	39456
333	19755	39392
334	19812	39329
335	19870	39267
336	19928	39205
337	19986	39145
338	20041	39077
339	20099	39015
340	20154	38949
341	20213	38889
342	20268	38824
343	20325	38759
344	20387	38706
345	20441	38638
346	20499	38576
